name,address,region
Millennium Simcha Hall,4405 14th Ave Brooklyn NY,brooklyn
Skolya Simcha Hall,1335 48th St Brooklyn NY,brooklyn
Zemer Banquet Hall,1325 38th St Brooklyn NY,brooklyn
Ateres Chaya Hall,1415 54th St Brooklyn NY,brooklyn
Machzikei Talmud Torah,1315 43rd St Brooklyn NY,brooklyn
Young Israel of Boro Park,1349 50th St Brooklyn NY,brooklyn
Shomrei Emunah,5202 14th Ave Brooklyn NY,brooklyn
Heichal Menachem,1581 52nd St Brooklyn NY,brooklyn
Birchas Avrohom-Vien,1319 50th St Brooklyn NY,brooklyn
Mikor Baruch Seret Vizhnitz,1310 48th St Brooklyn NY,brooklyn
Cong. Beth Joseph Dombrov,1324 50th St Brooklyn NY,brooklyn
Gvodzitz Sadigura-Bais Dovid,1254 49th St Brooklyn NY,brooklyn
Kollel Pri H'aretz Porisov,1332 50th St Brooklyn NY,brooklyn
Khal Vyoel Moshe Satmar,1352 49th St Brooklyn NY,brooklyn
Mincha Chadosha Dzikov Viznitz,1237 48th St Brooklyn NY,brooklyn
Boro Park Y (Simcha Center),4912 14th Ave Brooklyn NY,brooklyn
Beth El of Borough Park,4050 12th Ave Brooklyn NY,brooklyn
Yeshiva Etz Chaim,5000 13th Ave Brooklyn NY,brooklyn
Chasidei Gur,1317 49th St Brooklyn NY,brooklyn
Mifal Hafatza,1231 45th St Brooklyn NY,brooklyn
Skvere Hall,1373 43rd St Brooklyn NY,brooklyn
Congregation Chasidei Gorlitz,5110 14th Ave Brooklyn NY,brooklyn
Congregation Bnai Yisroel,4602 14th Ave Brooklyn NY,brooklyn
Bais Medrash Niklesburg,4918 16th Ave Brooklyn NY,brooklyn
Ksv Sofer Erlau,1316 50th St Brooklyn NY,brooklyn
Cong. Noam Elimelech,1240 51st St Brooklyn NY,brooklyn
Minchas Eluzer Munkacs,4706 14th Ave Brooklyn NY,brooklyn
Khal Tiferes Shmuel (BP),1419 50th St Brooklyn NY,brooklyn
Anshei Sfard of Boro Park,4502 14th Ave Brooklyn NY,brooklyn
Khal Chasidim (BP),4820 15th Ave Brooklyn NY,brooklyn
The Emerald Hall,4405 14th Ave Brooklyn NY,brooklyn
Ateres Golda,1362 50th St Brooklyn NY,brooklyn
Anshei Lubawitz of BP,4024 12th Ave Brooklyn NY,brooklyn
Baby Street Simcha Center,5409 18th Ave Brooklyn NY,brooklyn
Tzivos Hashem of BP,5014 16th Ave Brooklyn NY,brooklyn
Bobov-45,1325 38th St Brooklyn NY,brooklyn
Boro Park Center (MJG),4915 10th Ave Brooklyn NY,brooklyn
Beth Israel of Boro Park,5602 11th Ave Brooklyn NY,brooklyn
Young Israel Beth El,4802 12th Ave Brooklyn NY,brooklyn
Heichal HaBracha (Komarno),5100 15th Ave Brooklyn NY,brooklyn
Shomrei Shabbos,5301 16th Ave Brooklyn NY,brooklyn
Belz (Lomdei Torah),18th Ave at 50th St Brooklyn NY,brooklyn
Khal Toras Chaim Viznitz,1820 53rd St Brooklyn NY,brooklyn
Yeshiva Mesivta Vyoel Moshe,960 49th St Brooklyn NY,brooklyn
Renaissance Ballroom (BP),5902 14th Ave Brooklyn NY,brooklyn
Machzikei Hall,4622 14th Ave Brooklyn NY,brooklyn
The Palace Hall,780 McDonald Ave Brooklyn NY,brooklyn
Renaissance Event Hall,2100 Ocean Ave Brooklyn NY,brooklyn
Yeshiva Torah Vodaath,425 E 9th St Brooklyn NY,brooklyn
Khal Lev Avrohom,574 E 9th St Brooklyn NY,brooklyn
Young Israel of Ave J,1721 Avenue J Brooklyn NY,brooklyn
Agudath Sholom,3714 18th Ave Brooklyn NY,brooklyn
Kingsway Jewish Center,2810 Nostrand Ave Brooklyn NY,brooklyn
Beth El of Flatbush,1981 Homecrest Ave Brooklyn NY,brooklyn
East Midwood Jewish Center,1625 Ocean Ave Brooklyn NY,brooklyn
Shaare Torah of Flatbush,305 E 21st St Brooklyn NY,brooklyn
JCC of Marine Park,3415 Quentin Rd Brooklyn NY,brooklyn
The Palace Hall (Kensington),780 McDonald Ave Brooklyn NY,brooklyn
Flatbush Jewish Center,327 E 5th St Brooklyn NY,brooklyn
Chabad of Kensington,605 Ocean Pkwy Brooklyn NY,brooklyn
Beis Haknesseth Ohr Hamizrach,347 Ocean Pkwy Brooklyn NY,brooklyn
Ocean Parkway Jewish Center,550 Ocean Pkwy Brooklyn NY,brooklyn
Tifereth Israel (Kensington),514 Dahill Rd Brooklyn NY,brooklyn
Chabad of Windsor Terrace,1266 Prospect Ave Brooklyn NY,brooklyn
Linath Hazedek,109 Clara St Brooklyn NY,brooklyn
Chabad of Ditmas Park,716 Ditmas Ave Brooklyn NY,brooklyn
Gan Yisroel Hall,3909 15th Ave Brooklyn NY,brooklyn
Chabad of Bensonhurst,8224 23rd Ave Brooklyn NY,brooklyn
Young Israel of Bensonhurst,48 Bay 28th St Brooklyn NY,brooklyn
Sons of Israel,79 Bay 22nd St Brooklyn NY,brooklyn
Shaarei Torah (Bensonhurst),8669 Bay 16th St Brooklyn NY,brooklyn
Congregation Bnei Isaac,725 Avenue O Brooklyn NY,brooklyn
Merkaz Yisrael (MPJC),3311 Avenue S Brooklyn NY,brooklyn
Mayan Yisroel,3315 Avenue N Brooklyn NY,brooklyn
Agudath Israel of Madison,2122 Avenue S Brooklyn NY,brooklyn
Young Israel of Avenue U,2119 Homecrest Ave Brooklyn NY,brooklyn
Khal Bnei Shlomo Zalman (Madison),2002 Avenue S Brooklyn NY,brooklyn
Agudath Yisroel of Flatbush,1302 Ocean Pkwy Brooklyn NY,brooklyn
Avenue N Jewish Center,321 Avenue N Brooklyn NY,brooklyn
Bais Menachem Mendel (Chabad Flatbush),1703 Avenue J Brooklyn NY,brooklyn
Khal Agudas Achim (Midwood),1564 Coney Island Ave Brooklyn NY,brooklyn
Sasregen Shul,1279 East 24th St Brooklyn NY,brooklyn
Bais Avrohom D'Krula,1205 Avenue J Brooklyn NY,brooklyn
Khal Bnei Shlomo Zalman (Flatbush),1093 East 21st St Brooklyn NY,brooklyn
Kol Torah,2018 Avenue M Brooklyn NY,brooklyn
Congregation Tenke,1478 East 10th St Brooklyn NY,brooklyn
Yavneh Minyan of Flatbush,1412 Avenue M Brooklyn NY,brooklyn
Congregation Bais Yitzchok,1143 East 19th St Brooklyn NY,brooklyn
Khal Shalheves Kodesh,2920 Avenue J Brooklyn NY,brooklyn
Young Israel of Midwood,1694 Ocean Ave Brooklyn NY,brooklyn
Agudah of Avenue L,2913 Avenue L Brooklyn NY,brooklyn
Ohel Yitzchok (Flatbush),1401 Avenue M Brooklyn NY,brooklyn
Armon Hall,2605 Nostrand Ave Brooklyn NY,brooklyn
Talmud Torah of Flatbush,1305 Coney Island Ave Brooklyn NY,brooklyn
Kahal Ahavas Yitzchok (Flatbush),73 Forshay Rd area Brooklyn NY,brooklyn
Yeshiva of Brooklyn,1470 Ocean Pkwy Brooklyn NY,brooklyn
Ateres Chynka,129 Elmwood Ave Brooklyn NY,brooklyn
Sasson V'Simcha,1223 Coney Island Ave Brooklyn NY,brooklyn
Greenpoint Shul,108 Noble St Brooklyn NY,brooklyn
Sanz Klausenburg (Williamsburg),520 Bedford Ave Brooklyn NY,brooklyn
Sanz Williamsburg,106 Lee Ave Brooklyn NY,brooklyn
P'shevorsk Shul,205 Hewes St Brooklyn NY,brooklyn
